GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO6E001,NAME_M,AUO6M001
"G1100010002801","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002801",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002801",,,"11001002801","Census Tract 28.01, District of Columbia, District of Columbia",3792,"Census Tract 28.01, District of Columbia, District of Columbia",648
"G1100010002802","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002802",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002802",,,"11001002802","Census Tract 28.02, District of Columbia, District of Columbia",4507,"Census Tract 28.02, District of Columbia, District of Columbia",629
"G1100010002900","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"002900",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001002900",,,"11001002900","Census Tract 29, District of Columbia, District of Columbia",4361,"Census Tract 29, District of Columbia, District of Columbia",775
"G1100010003000","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003000",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003000",,,"11001003000","Census Tract 30, District of Columbia, District of Columbia",3425,"Census Tract 30, District of Columbia, District of Columbia",442
"G1100010003100","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003100",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003100",,,"11001003100","Census Tract 31, District of Columbia, District of Columbia",3906,"Census Tract 31, District of Columbia, District of Columbia",723
"G1100010003200","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003200",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003200",,,"11001003200","Census Tract 32, District of Columbia, District of Columbia",4223,"Census Tract 32, District of Columbia, District of Columbia",995
"G1100010003301","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003301",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003301",,,"11001003301","Census Tract 33.01, District of Columbia, District of Columbia",3670,"Census Tract 33.01, District of Columbia, District of Columbia",520
"G1100010003302","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003302",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003302",,,"11001003302","Census Tract 33.02, District of Columbia, District of Columbia",2268,"Census Tract 33.02, District of Columbia, District of Columbia",362
"G1100010003400","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003400",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003400",,,"11001003400","Census Tract 34, District of Columbia, District of Columbia",4728,"Census Tract 34, District of Columbia, District of Columbia",551
"G1100010003500","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003500",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003500",,,"11001003500","Census Tract 35, District of Columbia, District of Columbia",5138,"Census Tract 35, District of Columbia, District of Columbia",558
"G1100010003600","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003600",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003600",,,"11001003600","Census Tract 36, District of Columbia, District of Columbia",5042,"Census Tract 36, District of Columbia, District of Columbia",666
"G1100010003701","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003701",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003701",,,"11001003701","Census Tract 37.01, District of Columbia, District of Columbia",2508,"Census Tract 37.01, District of Columbia, District of Columbia",224
"G1100010003702","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003702",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003702",,,"11001003702","Census Tract 37.02, District of Columbia, District of Columbia",2795,"Census Tract 37.02, District of Columbia, District of Columbia",766
"G1100010003801","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003801",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003801",,,"11001003801","Census Tract 38.01, District of Columbia, District of Columbia",1440,"Census Tract 38.01, District of Columbia, District of Columbia",216
"G1100010003802","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003802",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003802",,,"11001003802","Census Tract 38.02, District of Columbia, District of Columbia",3645,"Census Tract 38.02, District of Columbia, District of Columbia",566
"G1100010003901","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003901",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003901",,,"11001003901","Census Tract 39.01, District of Columbia, District of Columbia",2734,"Census Tract 39.01, District of Columbia, District of Columbia",549
"G1100010003902","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"003902",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001003902",,,"11001003902","Census Tract 39.02, District of Columbia, District of Columbia",1566,"Census Tract 39.02, District of Columbia, District of Columbia",222
"G1100010004001","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"004001",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001004001",,,"11001004001","Census Tract 40.01, District of Columbia, District of Columbia",3843,"Census Tract 40.01, District of Columbia, District of Columbia",599
"G1100010004002","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"004002",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001004002",,,"11001004002","Census Tract 40.02, District of Columbia, District of Columbia",3074,"Census Tract 40.02, District of Columbia, District of Columbia",538
"G1100010004100","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"004100",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001004100",,,"11001004100","Census Tract 41, District of Columbia, District of Columbia",2475,"Census Tract 41, District of Columbia, District of Columbia",408
"G1100010004201","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"004201",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001004201",,,"11001004201","Census Tract 42.01, District of Columbia, District of Columbia",3341,"Census Tract 42.01, District of Columbia, District of Columbia",499
"G1100010004202","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,"004202",,,,,,,,,,,,,,,,,,,,,,,"1400000US11001004202",,,"11001004202","Census Tract 42.02, District of Columbia, District of Columbia",2557,"Census Tract 42.02, District of Columbia, District of Columbia",397
